JSM,ENDERECO,BAIRRO,CEP,TELEFONE,MUNICIPIO_JSM,UF_JSM
"15/324 - SANTA TEREZA DO OESTE","Av. Paraná, nº 61, CEP 85825-000","Centro",,"(45) 3231-1122","SANTA TEREZA DO OESTE","PR"
"15/168 - PAULO FRONTIN","RUA FRANCISCO BRZEZINSKI FILHO, 79","CENTRO",,"42-3543-1381","PAULO FRONTIN","PR"
"15/311 - SAO JOSE DAS PALMEIRAS","Rua Sete de Setembro, nº 001, CEP 85898-000","Centro",,"(45) 3259-1580","SAO JOSE DAS PALMEIRAS","PR"
"15/159 - PATO BRANCO","R. Osvaldo Aranha, nº 491, CEP 85501-037","Centro",,"(46) 3225-1487","PATO BRANCO","PR"
"15/372 - SAO PEDRO DO IGUACU","Rua Niteroi, nº 10, CEP 85929-000","Centro",,"(45) 3255-8000","SAO PEDRO DO IGUACU","PR"
"15/169 - PORTO VITORIA","RUA OSVALDO GOMES DA SILVA, 717","CENTRO",,"(42) 35731212","PORTO VITORIA","PR"
"15/306 - TURVO","RUA PARANÁ, S/N","CENTRO",,"42 36421145","TURVO","PR"
"15/172 - RIO AZUL","RUA EXP. ANTONIO CAÇÃO","CENTRO",,"34631122","RIO AZUL","PR"
"15/336 - VIRMOND","AVENIDA XV DE NOVEMBRO N°608","CENTRO",,"36181122","VIRMOND","PR"
"15/210 - ALTO PARANA","Rua José de Anchieta, 1641- ALTO PARANÁ - PR, CEP: 87750000","CENTRO",,"44-34471718","ALTO PARANA","PR"
"15/224 - AMAPORA","R SETE DE SETEMBRO, 21. AMAPORÃ -PR, CEP 87850000","CENTRO",,"44 34378300","AMAPORA","PR"
"15/301 - TRES BARRAS DO PARANA","Av. Brasil, nº 245, CEP 85485-000","Centro",,"(45) 3235-1212","TRES BARRAS DO PARANA","PR"
"15/225 - DIAMANTE DO NORTE","R JOSÉ VICENTE, 257, Diamante do Norte - PR. CEP 87990-000","CENTRO",,"44 34291319","DIAMANTE DO NORTE","PR"
"15/292 - TUPASSI","R. Praça dos Expedicionários, s/nº, CEP 85945-000","Centro, (Centro Cultural Avelino Acco)",,"(45) 3544-8050","TUPASSI","PR"
"15/162 - UNIAO DA VITORIA","PRAÇA CEL. AMAZONAS, 46","CENTRO",,"35224748","UNIAO DA VITORIA","PR"
"15/226 - GUAIRACA","R RODRIGO AYRES DE OLIVEIRA, 1182,  GUAIRAÇA - PR, CEP 87880000","CENTRO",,"44-3442-1226","GUAIRACA","PR"
"15/126 - UBIRATA","Av. Nilza Oliveira Pipino, nº 1852, CEP 85440-000","Centro",,"(44) 3543-2467","UBIRATA","PR"
"15/228 - LOANDA","RUA MATO GROSSO, 354 - LOANDA - PR  - CEP  87900000","ALTO DA GLORIA",,"(44)34258400","LOANDA","PR"
"15/3 - ARAUCARIA","RUA MAJOR SEZINO PEREIRA DE SOUZA, 422","CENTRO","83702270","(41)3901-5209","ARAUCARIA","PR"
"15/229 - MARILENA","R DANTE PASQUALETO, 855 - MARILENA - PR. CEP 87960000","CENTRO",,"34481314","MARILENA","PR"
"15/230 - MIRADOR","AVENIDA GUAÍRA, 154 - MIRADOR-PR- CEP 87840-000","CENTRO",,"44-34348000 RAMAL 8008","MIRADOR","PR"
"15/4 - BALSA NOVA","AV. BRASIL, 665","CENTRO","83650000","(41)3636-8041 ou 8044","BALSA NOVA","PR"
"15/232 - NOVA LONDRINA","AV LEONARDO SPADINI, 458","CENTRO","87970000","34322722","NOVA LONDRINA","PR"
"15/2 - CAMPO LARGO","Rua Centenário 2245","Centro",,"(41)3392-2880","CAMPO LARGO","PR"
"15/5 - CONTENDA","AV. JOAO FRANCO, 400","CENTRO",,"(41)3625-1212","CONTENDA","PR"
"15/223 - PARANAVAI","RUA GETULIO VARGAS, Nº 900, PARANAVAI-PR, CEP 87702000","CENTRO",,"(44)39021014","PARANAVAI","PR"
"15/1 - CURITIBA (JARDIM BOTANICO)","AV. PRESIDENTE AFFONSO CAMARGO, 2625","CRISTO REI","80050370","(41)3218-2410 ou 2412","CURITIBA","PR"
"15/234 - PLANALTINA DO PARANA","PRAÇA GIACOMO MADALOZZO, 234, PLANALTINA DO PARANÁ - PR, CEP 87860000","CENTRO",,"(44) 3435-1221","PLANALTINA DO PARANA","PR"
"15/314 - CURITIBA (TERMINAL FAZENDINHA)","RUA DA CIDADANIA - TERMINAL FAZENDINHA - LOJA 49 ","FAZENDINHA",,"(41)3350-3797 ou 3798","CURITIBA","PR"
"15/313 - CURITIBA (TERMINAL DO CARMO)","RUA DA CIDADANIA - TERMINAL DO CARMO- SALA 42","BOQUEIRÃO",,"(41)3313-5509 ou 5510","CURITIBA","PR"
"15/236 - QUERENCIA DO NORTE","Rua Ceara,27","CENTRO",,"(44)34622291","QUERENCIA DO NORTE","PR"
"15/6 - LAPA","RUA EUFRÁSIO CORTES, 320","CENTRO","83750000","(41)3622-3017","LAPA","PR"
"15/219 - SANTO ANTONIO DO CAIUA","AV SAO JOAO, 415","CENTRO",,"34431221","SANTO ANTONIO DO CAIUA","PR"
"15/273 - BARRACAO","RUA MINAS GERAIS, Nº 196, CEP 85700-000","CENTRO",,"(49) 3644-2024","BARRACAO","PR"
"15/185 - SAO JOAO DO TRIUNFO","RUA PEDRO FURTADO DAS NEVES, 280","CENTRO",,"3447-1407","SAO JOAO DO TRIUNFO","PR"
"15/220 - SAO CARLOS DO IVAI","AV IVAI, 890","CENTRO",,"4434388400","SAO CARLOS DO IVAI","PR"
"15/221 - SAO JOAO DO CAIUA","Rua Dom  Pedro II, 800","CENTRO",,"34458150","SAO JOAO DO CAIUA","PR"
"15/373 - SANTA MONICA","R. DOUTOR LUIZ DE AZEVEDO BRANCO, 488. SANTA MÔNICA - PR, CEP 87915000","CENTRO",,"(44) 3455-1075","SANTA MONICA","PR"
"15/240 - TAMBOARA","Rua Manoel Ribas, 2107","CENTRO",,"44 34601214","TAMBOARA","PR"
"15/274 - CAPANEMA","R. OTAVIO FRANCISCO DE MATTOS, Nº 498, CEP 85760-000","CENTRO","85760000","(46) 3552-2166","CAPANEMA","PR"
"15/241 - TERRA RICA","AV EUCLIDES DA CUNHA, 1120","CENTRO",,"4434418515","TERRA RICA","PR"
"15/362 - ALTO PARAISO","PRACA JOSE HILTON DE OLIVEIRA, S/Nº, CEP 87528-000","CENTRO",,"(44) 3664-1076","ALTO PARAISO","PR"
"15/275 - DOIS VIZINHOS","R. Souza Naves, nº395, CEP 85660-000","Alto da Colina, (Sala Lateral a Câmara de Vereadores)",,"(46) 3581-1084 ","DOIS VIZINHOS","PR"
"15/276 - ENEAS MARQUES","Av. Presidente Dutra, nº 182, CEP 85630-000","Centro",,"(46) 3544-1282","ENEAS MARQUES","PR"
"15/271 - FRANCISCO BELTRAO","Av. Antonio de Paiva Cantelmo, nº 1010","Centro (Rodoviária)","85601270","(46) 3524-4898","FRANCISCO BELTRAO","PR"
"15/278 - MARMELEIRO","Av. Macali, nº 255, CEP 85615-000","Centro",,"(46) 3525-1133","MARMELEIRO","PR"
"15/364 - NOVA ESPERANCA SUDOESTE","Av. Iguaçu, nº 750, CEP 85635-000","Centro",,"(46) 3546-1144","NOVA ESPERANCA DO SUDOESTE","PR"
"15/255 - ICARAIMA","Av. Hermes Vissoto, n° 545, CEP 87530-000","Centro",,"(44) 98431-4837","ICARAIMA","PR"
"15/310 - NOVA PRATA DO IGUACU","R. Vereador Valmor Gomes, nº 1159, CX Postal 01, CEP 85685-000","Cristo Redentor",,"(46) 3545-8014","NOVA PRATA DO IGUACU","PR"
"15/279 - PEROLA DO OESTE","R. Presidente Costa e Silva, nº 290, CEP 85740-000","Centro, (Prefeitura)",,"(46) 3556-1223","PEROLA D'OESTE","PR"
"15/353 - PINHAL DE SAO BENTO","RUA SAO ROQUE, 178","CENTRO",,"(46) 3560-1122","PINHAL DE SAO BENTO","PR"
"15/260 - MARIA HELENA","Av. Paraná, nº 2001, CEP 87480-000","Centro",,"(44) 3662-1031","MARIA HELENA","PR"
"15/261 - MARILUZ","R. Paço Municipal, s/nº, CEP 87470-000","Centro",,"(44) 3534-8000","MARILUZ","PR"
"15/303 - PRANCHITA","Av. Simão Faquinello, nº 364, CEP 85730-000","Centro",,"(46) 3540-1122","PRANCHITA","PR"
"15/263 - PEROLA","R. Gastão Vidigal, nº 50, CEP 87540-000","Centro, (Agência do trabalhador)",,"(44) 3636-1747","PEROLA","PR"
"15/267 - TAPIRA","R. Ponta Grossa, s/nº, CEP 87830-000","Centro, (Antiga Casa Das Irmãs)",,"(44) 3679-8042","TAPIRA","PR"
"15/269 - UMUARAMA","Rua Bahia, nº 4322, CEP 87501-430","Zona II, (Centro)",,"(44) 3906-1118","UMUARAMA","PR"
"19/16 - CRISTINAPOLIS","PRAÇA DA BANDEIRA, Nº  81","CENTRO","49270000","35421205","CRISTINAPOLIS","SE"
"19/20 - ESTANCIA","TRAVESSA DR JESSE FONTES- 331   ","CENTRO",,"35303417","ESTANCIA","SE"
"15/99 - ARAPONGAS","RUA GRALHA AZUL, Nº 301 - TERMINAL RODOVIARIO - BOX 4","VILA EDIO","86705270","(43) 3902-1083","ARAPONGAS","PR"
"19/27 - INDIAROBA","AVENIDA SETE DE SETEMBRO, Nº  99","CENTRO","49250000","79 9645 6002","INDIAROBA","SE"
"19/29 - ITABAIANINHA","RUA JOSE MARIA COSTA  N° 222     EM FRENTE AO ESTÁDIO DO OLÍMPICO ","CENTRO","49290000","07998837070","ITABAIANINHA","SE"
"19/31 - ITAPORANGA DAJUDA","AVENIDA EMIDIO MAX NETO, SN -  AÇÃO SOCIAL","CENTRO","49120000","32642729","ITAPORANGA D'AJUDA","SE"
"19/50 - PEDRINHAS","PRAÇA HERIBALDO ALVES DE GOES SN","CENTRO","49350000","36481210","PEDRINHAS","SE"
"19/61 - SALGADO","AVENIDA JOÃO ALVES FILHO, Nº23","CENTRO",,"079 3651-1569","SALGADO","SE"
"19/62 - SANTA LUZIA DO ITANHY","RUA BARÃO DO RIO BRANCO, Nº  16","CENTRO","49230000","35481218","SANTA LUZIA DO ITANHY","SE"
"19/73 - TOMAR DO GERU","RUA ROBERIO DIAS 91","CENTRO",,"35451900","TOMAR DO GERU","SE"
"19/74 - UMBAUBA","RUA ARTUR VIANA,41","CENTRO",,"3546 2932","UMBAUBA","SE"
"19/5 - AREIA BRANCA","PRAÇA JOVINIANO FREIRE OLIVEIRA, S/Nº","AREIA BRANCA",,"32881189","AREIA BRANCA","SE"
"15/44 - JAGUARIAIVA","RUA DO EXPEDICIONARIO, 525","SAO LUIZ",,"04335355382","JAGUARIAIVA","PR"
"15/46 - CASTRO","PRAÇA PEDRO KALED, 22 - ED. PREFEITURA","CENTRO","84165540","(42) 2122-5023","CASTRO","PR"
"15/171 - REBOUCAS",".RUA JOSÉ AFONSO VIEIRA LOPES, 96",".CENTRO",,"(42) 3457-1299","REBOUCAS","PR"
"15/173 - TEIXEIRA SOARES","PRAÇA OVIDIO ISMAEL GUBERT, 11","CENTRO",,"34601677","TEIXEIRA SOARES","PR"
"15/175 - IMBITUVA","RUA SOUZA ARAUJO, 183","CENTRO","84430000","34362231","IMBITUVA","PR"
"15/181 - PALMEIRA","RUA XV DE NOVEMBRO, 425","CENTRO",,"(42) 3909-5015","PALMEIRA","PR"
"15/387 - CARAMBEI","AV. DO OURO BRANCO, 231","CENTRO",,"4239151007","CARAMBEI","PR"
"15/388 - FERNANDES PINHEIRO","AV. REMIS JOAO LOSS, 600","CENTRO","84535000","34591109","FERNANDES PINHEIRO","PR"
"15/389 - GUAMIRANGA","R DIOGO EMANUEL DE ALMEIDA, 234","CENTRO","84435000","34381148","GUAMIRANGA","PR"
"15/318 - LUIZIANA","RUA ROMÃO MARTINS, Nº 144, LUIZIANA - PR, CEP 87290-000","CENTRO",,"(44)35711797","LUIZIANA","PR"
"10/61 - RONDA ALTA","PÇA MÁSSEO MÍSSIO, S/N","CENTRO",,"(54) 3364 5900","RONDA ALTA","RS"
"10/62 - RONDINHA","AV SARANDI, 646","CENTRO","99590000","(54) 3365 1188","RONDINHA","RS"
"10/80 - SARANDI","Praça Presidente Getúlio Vargas s/n",".Centro",,"(54) 3361 5625 (54) 3361 1075 ","SARANDI","RS"
"10/97 - CERRO GRANDE",".Rua América 100","Centro",,"(55) 3756 1100","CERRO GRANDE","RS"
"10/119 - TRES PALMEIRAS","PRAÇA 12 DE MAIO,763 - TRÊS PALMEIRAS - RS","CENTRO",,"(54) 3367 1121 / 54.999823510","TRES PALMEIRAS","RS"
"10/120 - TRINDADE DO SUL",".RUA ALECRIM, 120",".CENTRO",,"(54) 3541 1025 / 99609 8337","TRINDADE DO SUL","RS"
"10/145 - LAJEADO DO BUGRE","AV 20 DE MARÇO, S/N","CENTRO","98320000"," (55) 3616 5105 - 98456 0471","LAJEADO DO BUGRE","RS"
"10/146 - NOVO BARREIRO","AVENIDA SÃO JOÃO BATISTA, 415","CENTRO",,"(55) 3757-1100 / 54996885539 ","NOVO BARREIRO","RS"
"10/147 - SAGRADA FAMILIA","RUA LUIS CARDONA S/N","CENTRO",,"(55) 3616 9103 / 984577026","SAGRADA FAMILIA","RS"
"10/148 - SAO JOSE DAS MISSOES","RUA 20 DE SETEMBRO S/N","CENTRO","98325000","(55) 3753 1106 / 99974 8387","SAO JOSE DAS MISSOES","RS"
"10/158 - BARRA FUNDA","AV 24 DE MARÇO, 735","CENTRO",,"(54) 3369 1202","BARRA FUNDA","RS"
"10/159 - ENGENHO VELHO","RUA ANTONIO TROMBETA, S/Nº","CENTRO","99682000","(54) 3363 9600","ENGENHO VELHO","RS"
"10/160 - NOVA BOA VISTA","AV JACOB SOBRINHO, 939","CENTRO","99580000","(54) 3360 3000 - 54 996724595","NOVA BOA VISTA","RS"
"10/161 - GRAMADOS DOS LOUREIROS","RUA JOSÉ PEDRO LOUREIRO DE MELO, S/N","CENTRO","99605000","(54) 3613 7171 / 98413 2426","GRAMADO DOS LOUREIROS","RS"
"10/262 - NOVO XINGU","AV EMÍLIO KNNAAK, S/N","CENTRO",,"(54) 3317 8051","NOVO XINGU","RS"
"10/267 - SAO PEDRO DAS MISSOES","RUA TREZE DE MAIO, S/Nº","CENTRO",,"(55) 3617 1101","SAO PEDRO DAS MISSOES","RS"
"6/134 - PONGAI","RUA JOSÉ CÂNDIDO CARNEIRO Nº 435","CENTRO","16660000","35811107","PONGAI","SP"
"6/142 - PROMISSAO","AVENIDA SILVANO FARIA S/N - ANTIGO LANCHODROMO","CENTRO",,"(14) 991015390","PROMISSAO","SP"
"6/148 - REGINOPOLIS","RUA ABRAÃO RAMOS Nº 327","CENTRO","17190000","35899205","REGINOPOLIS","SP"
"6/153 - SABINO","RUA OLAVO BILAC, 740","CENTRO","16440000","35469100","SABINO","SP"
"6/186 - URU","AV. FRANCISCO TELLES","CENTRO","16650000","35828000","URU","SP"
"6/7 - ALVARO DE CARVALHO","PRAÇA OCTACÍLIO PEREIRA NOBRE Nº 18","CENTRO","17410000","34841119","ALVARO DE CARVALHO","SP"
"6/8 - ALVINLANDIA","PRAÇA DOUTOR DANIEL GUARIDO Nº 294","CENTRO",,"34731105","ALVINLANDIA","SP"
"6/32 - CAMPOS NOVOS PAULISTA","RUA EDGARD BONINI Nº 492","CENTRO",,"34761144","CAMPOS NOVOS PAULISTA","SP"
"6/52 - GALIA","PRACA CUSTODIO ARAUJO RIBEIRO Nº 755","CENTRO",,"14 3274-9022","GALIA","SP"
"6/53 - GARCA","RUA CARLOS GOMES Nº 146 SALA 1","CENTRO",,"34710244","GARCA","SP"
"6/77 - JULIO MESQUITA","RUA FRANCISCO DA FONSECA Nº 213","CENTRO",,"14 - 34879090","JULIO MESQUITA","SP"
"6/84 - LUPERCIO","RUA FRANCISCO CONEGLIAN Nº 357","CENTRO",,"34741128","LUPERCIO","SP"
"6/85 - LUTECIA","RUA ALVINO GIROTO, 317","CENTRO",,"33681105","LUTECIA","SP"
"6/92 - MARILIA","RUA XV DE NOVEMBRO Nº 650","CENTRO",,"34331363","MARILIA","SP"
"6/109 - OCAUCU","AVENIDA CELESTE CASAGRANDE Nº 204","CENTRO",,"34751516","OCAUCU","SP"
"6/110 - ORIENTE","RUA TOMAZ MARTINS PARRA Nº 80","CENTRO",,"34562043","ORIENTE","SP"
"6/111 - OSCAR BRESSANE","AVENIDA JOSÉ MANZANO GARCIA Nº 190","CENTRO",,"34571105","OSCAR BRESSANE","SP"
"6/188 - VERA CRUZ","RUA DRA. CECILIA RANGEL JANINI, 3","CENTRO","17560000","34923108","VERA CRUZ","SP"
"6/13 - ARACATUBA","RUA CHIQUITA FERNANDES Nº 1221","JD. DAS BANDEIRAS","16025100","(18)36233072","ARACATUBA","SP"
"6/19 - BARBOSA","AVENIDA DONA RICARDINA, 1276 (MEU CANTINHO)","CENTRO","16350000","36551226/997237266","BARBOSA","SP"
"15/282 - RENASCENCA","Rua Getúlio Vargas, nº 901, CEP 85610-000","Centro",,"(46) 3550-8331","RENASCENCA","PR"
"15/283 - SALGADO FILHO","R. Floriano Francisco Anater, nº 50, CEP 85620-000","Centro","85620000","(46) 3564-1796","SALGADO FILHO","PR"
"15/284 - SALTO DO LONTRA","R. Rio Grande do Sul, nº 975 CEP 85670-00","Centro",,"(46) 3538-1855","SALTO DO LONTRA","PR"
"6/22 - BENTO DE ABREU","RUA 27 DE MARÇO Nº 390","CENTRO","16790000","36019200","BENTO DE ABREU","SP"
"15/285 - SAO JORGE DO OESTE","Rua Das Américas, nº 264, CEP 85575-000","Centro",,"(46) 3534-2365","SAO JORGE D'OESTE","PR"
"6/23 - BILAC","PRAÇA OSVALDO MARTINS S/N - PREFEITURA MUNICIPAL","CENTRO","16210000","36599232","BILAC","SP"
"6/24 - BIRIGUI","Avenida Afonso Pena, 01-A","Vila Pontes","16200123","1836447926","BIRIGUI","SP"
"6/26 - BRAUNA","AVENIDA RIO BRANCO Nº 485 - PREFEITURA MUNICIPAL","CENTRO","16290000","18-36929200/997524513","BRAUNA","SP"
"15/288 - VERE","R. Pioneiro Antonio Fabiane, nº 316, CEP 85585-000","Centro",,"(46) 3535-8000","VERE","PR"
"6/207 - BREJO ALEGRE","RUA DJALMA DUTRA, 270 - PREFEITURA MUNICIPAL","CENTRO","16265000","36468877","BREJO ALEGRE","SP"
"6/220 - BURITAMA","AVENIDA DANIEL LUIZ GUERBAS 579","CIDADE NOVA","15290000","1836913778","BURITAMA","SP"
"6/37 - COROADOS","RUA PRUDENTE DE MORAES  NR 64- PREFEITURA MUNICIPAL","CENTRO","16260000","18-36459124","COROADOS","SP"
"6/57 - GLICERIO","RUA PREFEITO FUAD EID, 320","CENTRO","16270000","36479900","GLICERIO","SP"
"6/63 - GUARARAPES","RUA RUI BARBOSA Nº S/Nº - JUNTO AO TIRO DE GUERRA","CENTRO","16700000","36064515","GUARARAPES","SP"
"6/123 - PENAPOLIS","RUA DR. RAMALHO FRANCO Nº 340","CENTRO","1630000","18-36525627/ 991669340","PENAPOLIS","SP"
"6/125 - PIACATU","AV. PASCOAL CREMA, 64 (ANTIGA RODOVIARIA)","CENTRO","16230000","36931517","PIACATU","SP"
"6/151 - RUBIACEA","RUA MINISTRO KONDER, 108 - PREFEITURA MUNICIPAL","CENTRO","16750000","36979117","RUBIACEA","SP"
"6/187 - VALPARAISO","PRACA BENEDITO DE MELLO NR 280-A - (ANTIGA RODOVIARIA)","CENTRO","16880000","18-34012331","VALPARAISO","SP"
"15/237 - SANTA CRUZ DE MONTE CASTELO","AVENIDA PAULO LIBÂNIO,700 - CX. P. 01, S.C.M.CASTELO-PR, CEP 87920-000","CENTRO",,"44 3452-1154","SANTA CRUZ DE MONTE CASTELO","PR"
"19/22 - FREI PAULO","RUA BARÃO DO RIO BRANCO, S/Nº","FREI PAULO",,"34471667","FREI PAULO","SE"
"19/28 - ITABAIANA","RUA GRUMETE ALCIDES CAVALCANTE, 309","CENTRO",,"7934319701","ITABAIANA","SE"
"19/11 - CANINDE DE SAO FRANCSICO","RUA MANOEL FEITOSA,19","CENTRO","49820000","79 998967781","CANINDE DE SAO FRANCISCO","SE"
"19/18 - CUMBE","AVENIDA LEANDRO MACIEL, NR 08","CENTRO","49660000","98264623","CUMBE","SE"
"19/21 - FEIRA NOVA","PRAÇA JOSÉ JOAQUIM DOS SANTOS, 218","CENTRO","49670000","(79) 33131194 e 99079484","FEIRA NOVA","SE"
"19/23 - GARARU","PRAÇA PREFEITO NELSON RESENDE DE ALBUQUERQUE","CENTRO","49830000","99127289","GARARU","SE"
"2/29 - SAO PEDRO DA ALDEIA","RUA MARQUES DA CRUZ S/N.","CENTRO - SPA-RJ","28940000","22 26211559 ","SAO PEDRO DA ALDEIA","RJ"
"2/54 - RIO BONITO","RUA DESEMBARGADOR ITABAIANA DE OLIVEIRA, 95 -1º ANDAR","CENTRO","28800000",,"RIO BONITO","RJ"
"2/56 - ITABORAI","AVENIDA VEREADOR HERMINIO MOREIRA, S/Nº","CENTRO","24800000","36392025","ITABORAI","RJ"
"2/75 - TANGUA","AVENIDA VEREADOR MANOEL DE MACEDO,680 (Prédio da Prefeitura de Tanguá)","CENTRO","24890000","37491111","TANGUA","RJ"
"2/79 - IGUABA GRANDE","RUA ANTELIM TEIXEIRA DE CARVALHO, Nº 140","CENTRO","28960000","(22) 26242040","IGUABA GRANDE","RJ"
"2/19 - NOVA FRIBURGO","AVENIDA ALBERTO BRAUNE, 223","CENTRO","28613001","(22)25259227","NOVA FRIBURGO","RJ"
"2/20 - CACHOEIRA DE MACACU","RUA OSVALDO ARANHA S/Nº","CENTRO",,"(21)980878265","RIO DE JANEIRO","RJ"
"2/21 - CARMO","AV. JOSÉ RIBEIRO DE MOURA, ","CENTRO",,"(22)25371159","CARMO","RJ"
"2/24 - BOM JARDIM","RUA MIGUEL DE CARVALHO, 158","CENTRO",,"(22)25662500","BOM JARDIM","RJ"
"2/58 - SANTA MARIA MADALENA","RUA DRª AUREA EMERY TRINDADE, 02-A","CENTRO","28770000","(22)25611857","SANTA MARIA MADALENA","RJ"
"2/59 - SAO SEBASTIAO DO ALTO","RUA JULIO VIEITAS Nº 170","CENTRO.",,"(22)25591160","SAO SEBASTIAO DO ALTO","RJ"
"2/60 - TRAJANO DE MORAIS","AVENIDA CASTELO BRANCO, 01","CENTRO","28750000","(22)981660247","TRAJANO DE MORAES","RJ"
"2/76 - MACUCO","RUA MARIO FREIRE MARTINS, 100","CENTRO",,"(22)25549100","MACUCO","RJ"
"2/103 - RIO DE JANEIRO RAMOS","Rua Leopoldina Rego, nº 754","Penha","21021522","38810392","RIO DE JANEIRO","RJ"
"2/111 - RIO DE JANEIRO ILHA GOVERNADOR","RUA ORCADAS, 435/JARDIM CARIOCA","ILHA DO GOVERNADOR",,"33936852","RIO DE JANEIRO","RJ"
"2/32 - MACAE","Rua Doutor Télio Barreto - Praça Washington Luis S/N","Centro",,"(22)27623851/(22) 999196373","MACAE","RJ"
"2/33 - CONCEICAO DE MACABU","Rua José Augusto Silva, Trav.  S/Nº, Centro de Cidadania","CENTRO",,"(22)2779-2410/(22)997087370","CONCEICAO DE MACABU","RJ"
"2/55 - CASEMIRO DE ABREU","RUA ALPHEU MARCHON, nº30 - sala nº 04","CENTRO","28860000","(22)2778-5705/(22)981686504","CASIMIRO DE ABREU","RJ"
"2/65 - QUISSAMA","RUA Conde de Araruna, 430 ","Centro",,"(22)27686154/(22)997836941","QUISSAMA","RJ"
"2/69 - RIO DAS OSTRAS","RUA DAS CAZUARINAS, 595, CENTRO DE CIDADANIA","PRAIA ANCORA","28890000","(22)2771-8259","RIO DAS OSTRAS","RJ"
"2/74 - CARAPEBUS","RUA SALIN SELEN BICHARA, 120","CENTRO","27998000","(22)999316523","CARAPEBUS","RJ"
"2/106 - RIO DE JANEIRO JACAREPAGUA","PRACA BARAO DA TAQUARA, 9 -TERREO","JACAREPAGUA","21321453","30154015","RIO DE JANEIRO","RJ"
"2/107 - RIO DE JANEIRO ANCHIETA","PRACA JESUINO VENTURA, S/Nº","ANCHIETA",,"33580725","RIO DE JANEIRO","RJ"
"2/108 - RIO DE JANEIRO BANGU","RUA SILVA CARDOSO, 349","BANGU",,"34687400","RIO DE JANEIRO","RJ"
"2/157 - RIO DE JANEIRO PAVUNA","AVENIDA SARGENTO DE MILICIAS, S/Nº","PAVUNA",,"2124070403","RIO DE JANEIRO","RJ"
"10/210 - TUNAS","RUA FELISBINA LERMANN, S/Nº","CENTRO","99330000","051 3767 1070","TUNAS","RS"
"10/212 - ALTO ALEGRE","RUA RECREIO, 233","CENTRO",,"54 3382 1030","ALTO ALEGRE","RS"
"10/217 - ESPUMOSO","PRAÇA ARTHUR RITTER DE MEDEIROS, S/Nº","CENTRO","99400000","(054) 3383 4450 / 9 9907 3608","ESPUMOSO","RS"
"10/227 - ARVOREZINHA","RUA CARLOS SCHEFFER, 1020 - CENTRO ADMINISTRATIVO","CENTRO",,"051 3772 0300 / 9 8016 8472","ARVOREZINHA","RS"
"10/228 - BARROS CASSAL","AV MAURÍCIO CARDOSO, 1177 - PREFEITURA MUNICIPAL","CENTRO",,"054 3384 1200/ 999904435","BARROS CASSAL","RS"
"10/231 - FONTOURA XAVIER","AV 25 DE ABRIL, 1168","CENTRO",,"054 3389 1122 / 9 9202 1053","FONTOURA XAVIER","RS"
"10/232 - IBIRAPUITA","RUA ANTONIO SCYLA MUNIZ, 394","CENTRO",,"054 3380 1826 / 9 9176-3232","IBIRAPUITA","RS"
"10/233 - ILOPOLIS","RUA CONSELHEIRO JOSÉ BOZZETTO, 987","CENTRO",,"051 3774 1322 / 9 9993 5563","ILOPOLIS","RS"
"10/235 - LAGOAO","AV. MANOEL DE BRITO Nº 800  - PREFEITURA MUNICIPAL","CENTRO",,"051 3765 1007 / 9 9714 9786 ","LAGOAO","RS"
"10/236 - MORMACO","AVENIDA WILIBALDO KOENIG, 864 - PREFEITURA MUNICIPAL DE MORMAÇO","CENTRO",,"054 3393 1110 / 9 8406 1512 ","MORMACO","RS"
"10/238 - PUTINGA","RUA DUQUE DE CAXIAS, 333  - PREFEITURA MUNICIPAL","CENTRO",,"051 3777 1200 / 9 9310 2459","PUTINGA","RS"
"10/240 - SAO JOSE DO HERVAL","AV. GETULIO VARGAS, 753  - PREFEITURA MUNICIPAL","CENTRO",,"054 3325 1100 / 9 8437 9206","SAO JOSE DO HERVAL","RS"
"20/4 - ATALAIA","AVENIDA PARAIBA, 31","NOVA OLINDA",,"82 991162988","ATALAIA","AL"
"10/241 - SOLEDADE","AV JÚLIO DE CASTILHOS, 898","CENTRO",,"054 3381 9000 / 9 9240 8514","SOLEDADE","RS"
"10/242 - ITAPUCA","AV JÚLIO CARDOSO, S/N - PREFEITURA MUNICIPAL","CENTRO",,"051 3613 3160 / 9 9983 9579","ITAPUCA","RS"
"10/245 - NOVA ALVORADA","AV VICENTE GUERRA, 1429  - PREFEITURA MUNICIPAL","CENTRO",,"05433231212","NOVA ALVORADA","RS"
"10/249 - BOQUEIRAO DO LEAO","RUA SINIMBÚ,  644  - PREFEITURA MUNICIPAL","CENTRO","95920000","051 3789 1122 / 9 91780506","BOQUEIRAO DO LEAO","RS"
"20/11 - BRANQUINHA","BR 104, KM 47","CENTRO","57830000","82981550167","BRANQUINHA","AL"
"10/250 - GRAMADO XAVIER","AV SANTA CRUZ, S/Nº","CENTRO",,"051 3616 3108 / 9 8457 2268 ","GRAMADO XAVIER","RS"
"20/13 - CAJUEIRO","AVENIDA ANTONIO DE MIRANDA CABRAL, 150","CENTRO","57770000","82981550167","CAJUEIRO","AL"
"19/25 - GRACCHO CARDOSO","AVENIDA GETULIO VATGAS, S/Nº","CENTRO","49860000","079999941882","GRACHO CARDOSO","SE"
